Unix,Date,Symbol,Open,High,Low,Close,Volume FET,Volume USDT,tradecount
1714694400000,2024-05-03,FETUSDT,2.0021,2.2159,1.9555,2.1722,30984053.7,64409494.86185,269367
1714608000000,2024-05-02,FETUSDT,2.0134,2.0556,1.928,2.0017,23256549.6,46523686.6086,194468
1714521600000,2024-05-01,FETUSDT,2.0229,2.0605,1.8617,2.0139,41579206.9,81435060.37127,392690
1714435200000,2024-04-30,FETUSDT,2.1672,2.1999,1.915,2.0226,32234745.0,64800211.13651,297697
1714348800000,2024-04-29,FETUSDT,2.1605,2.2,2.0862,2.1672,22547642.0,48182717.47581,236540
1714262400000,2024-04-28,FETUSDT,2.1865,2.2876,2.141,2.1603,18516388.0,41068825.6236,157485
1714176000000,2024-04-27,FETUSDT,2.1584,2.1991,2.0575,2.1862,20019350.0,42665190.4952,181317
1714089600000,2024-04-26,FETUSDT,2.2972,2.3105,2.1349,2.1585,22885282.0,50921594.4731,212924
1714003200000,2024-04-25,FETUSDT,2.2711,2.38,2.2048,2.2976,30772217.0,70295337.8795,308644
1713916800000,2024-04-24,FETUSDT,2.4497,2.6366,2.2101,2.2711,44646952.0,109688330.9036,449212
1713830400000,2024-04-23,FETUSDT,2.4679,2.5596,2.3905,2.4499,25427610.0,62744630.7571,253197
1713744000000,2024-04-22,FETUSDT,2.4197,2.5268,2.3759,2.4694,28081025.0,68754400.0251,290582
1713657600000,2024-04-21,FETUSDT,2.4917,2.5658,2.361,2.4196,34512297.0,84350816.2348,400182
1713571200000,2024-04-20,FETUSDT,2.1083,2.5,2.0706,2.4909,39666782.0,91365946.1391,426495
1713484800000,2024-04-19,FETUSDT,2.0467,2.186,1.8546,2.1079,41070066.0,84930054.3334,442607
1713398400000,2024-04-18,FETUSDT,1.9875,2.0908,1.8845,2.0468,29755410.0,59450834.4406,323338
1713312000000,2024-04-17,FETUSDT,2.1118,2.1381,1.8755,1.9865,36538789.0,72442730.0406,382898
1713225600000,2024-04-16,FETUSDT,2.0508,2.1251,1.929,2.1113,45741599.0,92618882.5151,428593
1713139200000,2024-04-15,FETUSDT,2.225,2.388,2.0,2.0505,59131307.0,129941734.9878,653440
1713052800000,2024-04-14,FETUSDT,1.9513,2.2533,1.8519,2.2256,65352351.0,135642005.6115,875322
1712966400000,2024-04-13,FETUSDT,2.1397,2.2531,1.59,1.9512,79314294.0,154920342.7296,1017840
1712880000000,2024-04-12,FETUSDT,2.5489,2.5872,1.88,2.14,61676883.0,137320646.8572,673899
1712793600000,2024-04-11,FETUSDT,2.6642,2.7384,2.5105,2.5486,26039282.0,68028125.0537,238381
1712707200000,2024-04-10,FETUSDT,2.5855,2.7069,2.406,2.6643,27740807.0,70862699.1182,248614
1712620800000,2024-04-09,FETUSDT,2.8066,2.8478,2.5526,2.5856,20965932.0,55854124.0355,202951
1712534400000,2024-04-08,FETUSDT,2.7064,2.85,2.6295,2.8067,23816141.0,66066973.7503,217609
1712448000000,2024-04-07,FETUSDT,2.6311,2.7981,2.621,2.7068,19259770.0,52040241.8793,166418
1712361600000,2024-04-06,FETUSDT,2.6103,2.6856,2.584,2.6308,15414346.0,40572949.3294,135828
1712275200000,2024-04-05,FETUSDT,2.6988,2.7262,2.51,2.6104,30142864.0,78342997.7802,252012
1712188800000,2024-04-04,FETUSDT,2.5803,2.8789,2.5253,2.6985,40502692.0,110966470.1736,404827
1712102400000,2024-04-03,FETUSDT,2.6708,2.7673,2.51,2.5802,34203842.0,90804618.8165,324953
1712016000000,2024-04-02,FETUSDT,2.8803,2.8811,2.5963,2.67,42890041.0,115885272.3561,464068
1711929600000,2024-04-01,FETUSDT,3.0503,3.0828,2.82,2.8803,37123924.0,108730366.6294,416017
1711843200000,2024-03-31,FETUSDT,3.2053,3.27,3.0042,3.0508,32823604.0,102535416.3887,329209
1711756800000,2024-03-30,FETUSDT,3.1031,3.2254,2.9493,3.2046,45685479.0,140009184.2741,435668
1711670400000,2024-03-29,FETUSDT,3.2623,3.37,3.0754,3.1026,41201965.0,132334474.3244,461768
1711584000000,2024-03-28,FETUSDT,3.1062,3.48,3.0071,3.2624,83435104.8,274235114.09768,893455
1711497600000,2024-03-27,FETUSDT,2.8289,3.3425,2.811,3.1064,122743982.9,382882761.795867,1451152
1711411200000,2024-03-26,FETUSDT,2.6644,3.05,2.6577,2.8292,76998170.0,221831860.4496,845295
1711324800000,2024-03-25,FETUSDT,2.5837,2.73,2.4853,2.6643,42939866.0,112687997.4286,453794
1711238400000,2024-03-24,FETUSDT,2.4177,2.6497,2.3858,2.5838,26710781.0,66336257.2811,241820
1711152000000,2024-03-23,FETUSDT,2.4282,2.55,2.3843,2.4178,23802580.0,59156440.623,226053
1711065600000,2024-03-22,FETUSDT,2.5152,2.589,2.3624,2.4283,38641477.0,95790430.8153,427229
1710979200000,2024-03-21,FETUSDT,2.7465,2.7687,2.4929,2.5148,51279796.0,134558691.6537,491625
1710892800000,2024-03-20,FETUSDT,2.3783,2.85,2.35,2.7465,93769320.0,245534959.5766,1067141
1710806400000,2024-03-19,FETUSDT,2.4881,2.6044,2.1555,2.3792,104160182.0,249629115.8368,1235441
1710720000000,2024-03-18,FETUSDT,2.81,2.8867,2.4541,2.4885,90959792.0,237833109.357,913265
1710633600000,2024-03-17,FETUSDT,2.4225,3.0236,2.3466,2.8099,96730511.0,265267766.1052,1127861
1710547200000,2024-03-16,FETUSDT,2.6836,2.69,2.281,2.4223,64622244.0,161037182.7153,668778
1710460800000,2024-03-15,FETUSDT,2.8516,2.8697,2.3535,2.6836,95852064.0,255338824.6911,1208566
1710374400000,2024-03-14,FETUSDT,2.6558,3.0,2.5295,2.8513,85485331.0,232040241.9678,1050013
1710288000000,2024-03-13,FETUSDT,2.6741,2.8565,2.5875,2.6555,49077895.0,132440680.2459,498810
1710201600000,2024-03-12,FETUSDT,2.703,2.816,2.52,2.6735,59360362.0,158534952.8116,655372
1710115200000,2024-03-11,FETUSDT,2.7662,2.9563,2.65,2.7033,59152057.0,165378749.7941,651256
1710028800000,2024-03-10,FETUSDT,3.0778,3.126,2.6688,2.7662,59123344.0,168364729.5482,624648
1709942400000,2024-03-09,FETUSDT,2.7458,3.111,2.6915,3.0775,84660903.0,250007314.61674,924424
1709856000000,2024-03-08,FETUSDT,2.5759,2.9533,2.4498,2.7453,105816955.0,282475021.6447,1090393
1709769600000,2024-03-07,FETUSDT,2.429,2.86,2.4049,2.5759,139603799.7,369242724.773931,1624316
1709683200000,2024-03-06,FETUSDT,1.736,2.478,1.6925,2.428,164464509.4,343488253.94496,1647695
1709596800000,2024-03-05,FETUSDT,1.7253,1.9499,1.29,1.736,114500441.0,197638919.5638,966290
1709510400000,2024-03-04,FETUSDT,1.7706,1.9163,1.697,1.725,76045947.0,136135238.8749,581762
1709424000000,2024-03-03,FETUSDT,1.8019,1.9716,1.6383,1.7702,73211732.7,135104642.1968,639597
1709337600000,2024-03-02,FETUSDT,1.724,1.942,1.572,1.8011,90790158.6,156898023.515488,691003
1709251200000,2024-03-01,FETUSDT,1.4713,1.84,1.4709,1.724,123306920.8,205513640.588178,921929
1709164800000,2024-02-29,FETUSDT,1.3489,1.518,1.2848,1.4711,89854618.3,126699136.095226,778012
1709078400000,2024-02-28,FETUSDT,1.0753,1.3811,1.0678,1.3484,130332043.9,160485896.0487,892029
1708992000000,2024-02-27,FETUSDT,1.1157,1.1219,1.0567,1.0753,40726953.0,44472332.5712,207283
1708905600000,2024-02-26,FETUSDT,1.1036,1.1499,1.0509,1.1159,56107193.0,61981026.3411,309265
1708819200000,2024-02-25,FETUSDT,1.078,1.1412,1.073,1.1037,50817861.0,56534345.157,324784
1708732800000,2024-02-24,FETUSDT,1.0579,1.098,0.98,1.078,60038449.0,62707806.9928,341905
1708646400000,2024-02-23,FETUSDT,1.1053,1.2353,1.0313,1.0581,100444560.8,112039029.813754,522589
1708560000000,2024-02-22,FETUSDT,1.1453,1.2098,1.0238,1.1053,112309686.3,127147946.771204,652348
1708473600000,2024-02-21,FETUSDT,1.0546,1.163,0.9409,1.1455,101897604.0,105194389.259,589388
1708387200000,2024-02-20,FETUSDT,0.9793,1.097,0.87,1.0547,125671558.0,122226047.2915,661406
1708300800000,2024-02-19,FETUSDT,0.8239,0.9959,0.8239,0.9793,98145176.0,89974728.8663,450423
1708214400000,2024-02-18,FETUSDT,0.7871,0.8745,0.7817,0.8239,87443889.0,72414050.4085,368875
1708128000000,2024-02-17,FETUSDT,0.7075,0.7897,0.6869,0.7872,67818947.0,49647326.7757,243043
1708041600000,2024-02-16,FETUSDT,0.6536,0.7328,0.6481,0.7074,72685261.0,51111892.4487,242117
1707955200000,2024-02-15,FETUSDT,0.6815,0.6881,0.6425,0.6536,28944745.0,19278477.1724,91151
1707868800000,2024-02-14,FETUSDT,0.6672,0.6861,0.6521,0.6815,25862342.0,17363362.3762,78932
1707782400000,2024-02-13,FETUSDT,0.6675,0.6874,0.6492,0.6673,29895835.0,20053218.445,105441
1707696000000,2024-02-12,FETUSDT,0.6316,0.6737,0.622,0.6675,32903368.0,21333700.0066,92351
1707609600000,2024-02-11,FETUSDT,0.6281,0.6487,0.622,0.6313,25167220.0,15997295.4025,74614
1707523200000,2024-02-10,FETUSDT,0.6084,0.6348,0.6003,0.6276,29077526.0,17997954.0629,73485
1707436800000,2024-02-09,FETUSDT,0.5592,0.6181,0.5567,0.6083,43339745.0,25735068.1619,115063
1707350400000,2024-02-08,FETUSDT,0.5586,0.5643,0.5469,0.559,16044010.0,8930408.3103,39468
1707264000000,2024-02-07,FETUSDT,0.5289,0.5643,0.5243,0.5585,18905161.0,10294549.2134,51318
1707177600000,2024-02-06,FETUSDT,0.527,0.5421,0.521,0.5288,17981873.0,9556901.197,46310
1707091200000,2024-02-05,FETUSDT,0.5244,0.5431,0.5086,0.5272,22066436.0,11620296.8482,58099
1707004800000,2024-02-04,FETUSDT,0.5616,0.5622,0.5206,0.5245,20453555.0,11072718.2447,54641
1706918400000,2024-02-03,FETUSDT,0.5694,0.5742,0.5531,0.5617,13062803.0,7349275.0045,33785
1706832000000,2024-02-02,FETUSDT,0.5419,0.5798,0.5389,0.5694,31267144.0,17438559.7329,75307
1706745600000,2024-02-01,FETUSDT,0.566,0.5763,0.5386,0.5418,29989447.0,16638321.5732,83508
1706659200000,2024-01-31,FETUSDT,0.5997,0.6031,0.5629,0.5665,28237735.0,16419312.3782,81866
1706572800000,2024-01-30,FETUSDT,0.6281,0.641,0.5947,0.5997,25184227.0,15711890.0477,74206
1706486400000,2024-01-29,FETUSDT,0.6023,0.632,0.5917,0.6281,18268477.0,11184716.5563,57378
1706400000000,2024-01-28,FETUSDT,0.6235,0.633,0.5936,0.602,15816111.0,9728775.9171,55703
1706313600000,2024-01-27,FETUSDT,0.6101,0.6244,0.6051,0.6235,11834264.0,7281650.1307,38971
1706227200000,2024-01-26,FETUSDT,0.5793,0.6193,0.5737,0.61,17607077.0,10587738.8801,55249
1706140800000,2024-01-25,FETUSDT,0.6008,0.6024,0.5662,0.5797,20699582.0,12141639.0401,60994
1706054400000,2024-01-24,FETUSDT,0.5707,0.6018,0.5586,0.6008,25330695.0,14789658.5183,71745
1705968000000,2024-01-23,FETUSDT,0.5601,0.5744,0.525,0.5706,34015362.0,18699277.5586,96667
1705881600000,2024-01-22,FETUSDT,0.5933,0.5982,0.5502,0.5599,34151490.0,19670956.9203,92518
1705795200000,2024-01-21,FETUSDT,0.6123,0.6191,0.5913,0.5933,10576850.0,6434431.6976,31881
1705708800000,2024-01-20,FETUSDT,0.6179,0.6191,0.5969,0.6124,13475021.0,8180866.1927,37964
1705622400000,2024-01-19,FETUSDT,0.6192,0.6345,0.581,0.6179,26546443.0,16249777.7449,85809
1705536000000,2024-01-18,FETUSDT,0.6774,0.6793,0.6066,0.6191,41366719.0,26538150.376,110651
1705449600000,2024-01-17,FETUSDT,0.6901,0.6989,0.6683,0.6773,22970125.0,15687451.6857,64719
1705363200000,2024-01-16,FETUSDT,0.6846,0.7068,0.6641,0.6903,27079883.0,18662228.2605,86381
1705276800000,2024-01-15,FETUSDT,0.652,0.6944,0.6504,0.6846,25516964.0,17345688.5852,82896
1705190400000,2024-01-14,FETUSDT,0.689,0.6931,0.6501,0.6515,17893525.0,12053690.7417,64146
1705104000000,2024-01-13,FETUSDT,0.6856,0.6997,0.6559,0.6891,20110179.0,13637339.3687,82784
1705017600000,2024-01-12,FETUSDT,0.7252,0.7311,0.652,0.6853,45121278.0,31575694.801,172785
1704931200000,2024-01-11,FETUSDT,0.7171,0.78,0.6969,0.7251,68750989.0,50705701.4761,232549
1704844800000,2024-01-10,FETUSDT,0.6472,0.737,0.6294,0.7171,54953483.0,36704156.001,188128
1704758400000,2024-01-09,FETUSDT,0.6819,0.6908,0.6246,0.6468,50087315.0,32831831.2011,173724
1704672000000,2024-01-08,FETUSDT,0.622,0.6835,0.5666,0.6818,56603982.0,35609509.8009,196069
1704585600000,2024-01-07,FETUSDT,0.6484,0.6621,0.6092,0.622,25658808.0,16342421.5051,89352
1704499200000,2024-01-06,FETUSDT,0.69,0.6901,0.619,0.6485,37822694.0,24480238.9331,136486
1704412800000,2024-01-05,FETUSDT,0.7262,0.7476,0.6655,0.6896,53156409.0,37594826.4187,216054
1704326400000,2024-01-04,FETUSDT,0.6576,0.7296,0.6418,0.7261,41563087.0,28615548.0488,152191
1704240000000,2024-01-03,FETUSDT,0.7333,0.7407,0.5654,0.6581,77331193.0,51244657.9108,311977
1704153600000,2024-01-02,FETUSDT,0.7326,0.7588,0.7016,0.7331,43697832.0,31921973.3115,159036
1704067200000,2024-01-01,FETUSDT,0.6726,0.7362,0.6708,0.7326,25869044.0,18304685.455,95950
1703980800000,2023-12-31,FETUSDT,0.69,0.707,0.665,0.6725,24413364.0,16899531.7566,83877
1703894400000,2023-12-30,FETUSDT,0.6869,0.7015,0.6668,0.6898,20756755.0,14278887.3067,83368
1703808000000,2023-12-29,FETUSDT,0.6837,0.7236,0.6613,0.687,40537912.0,28052463.8929,150568
1703721600000,2023-12-28,FETUSDT,0.738,0.7551,0.6743,0.6837,46493273.0,33018098.5583,164657
1703635200000,2023-12-27,FETUSDT,0.7669,0.77,0.7134,0.7378,43538666.0,32134953.6016,167106
1703548800000,2023-12-26,FETUSDT,0.7394,0.7952,0.7024,0.7666,90746725.0,68549210.1252,340498
1703462400000,2023-12-25,FETUSDT,0.7097,0.7515,0.7036,0.7391,46277241.0,33617250.2981,145779
1703376000000,2023-12-24,FETUSDT,0.736,0.7519,0.6958,0.7099,46167494.0,33607252.4172,153629
1703289600000,2023-12-23,FETUSDT,0.7204,0.7495,0.7005,0.7359,41554112.0,30188773.2423,141738
1703203200000,2023-12-22,FETUSDT,0.7642,0.7798,0.7057,0.7206,63255263.0,46706985.5624,206660
1703116800000,2023-12-21,FETUSDT,0.7359,0.7644,0.699,0.7644,74435388.0,53581719.0642,204177
1703030400000,2023-12-20,FETUSDT,0.7079,0.79,0.6911,0.7359,105564100.0,78393466.9987,316110
1702944000000,2023-12-19,FETUSDT,0.7083,0.7447,0.6861,0.7075,97325725.0,69433145.1479,275289
1702857600000,2023-12-18,FETUSDT,0.6383,0.7093,0.589,0.7081,110354695.0,71487354.8392,343533
1702771200000,2023-12-17,FETUSDT,0.6466,0.6627,0.6181,0.638,47438897.0,30285842.2778,129795
1702684800000,2023-12-16,FETUSDT,0.6692,0.6969,0.6367,0.6467,74515562.0,49617930.0289,226161
1702598400000,2023-12-15,FETUSDT,0.7054,0.7508,0.6665,0.6694,111073497.0,79325921.6157,329479
1702512000000,2023-12-14,FETUSDT,0.6289,0.716,0.6224,0.7053,120724095.0,80746076.2392,317874
1702425600000,2023-12-13,FETUSDT,0.6031,0.6578,0.5658,0.6288,208816315.0,127656829.661,554765
1702339200000,2023-12-12,FETUSDT,0.4917,0.6055,0.4907,0.6031,151733658.0,83794871.1087,319810
1702252800000,2023-12-11,FETUSDT,0.5282,0.535,0.4659,0.4917,91985124.0,45997596.8135,193557
1702166400000,2023-12-10,FETUSDT,0.5133,0.5303,0.501,0.5284,36929457.0,19092153.8087,78862
1702080000000,2023-12-09,FETUSDT,0.5378,0.5554,0.5013,0.5132,57684504.0,30866210.3813,122511
1701993600000,2023-12-08,FETUSDT,0.5267,0.5452,0.5194,0.5378,46217436.0,24620695.5467,93794
1701907200000,2023-12-07,FETUSDT,0.5044,0.5371,0.4856,0.5267,54730761.0,28157131.8367,111783
1701820800000,2023-12-06,FETUSDT,0.5327,0.5433,0.5016,0.5045,52069998.0,27235424.5677,115061
1701734400000,2023-12-05,FETUSDT,0.5427,0.5476,0.5139,0.5326,65340975.0,34560228.9952,127056
1701648000000,2023-12-04,FETUSDT,0.5577,0.5683,0.5011,0.5426,113928893.0,61403656.7936,234043
1701561600000,2023-12-03,FETUSDT,0.5584,0.5844,0.55,0.5578,60121539.0,34111383.0375,145656
1701475200000,2023-12-02,FETUSDT,0.5543,0.5791,0.5405,0.5583,57346041.0,31927906.5731,125306
1701388800000,2023-12-01,FETUSDT,0.5284,0.5644,0.522,0.5544,58948424.0,31991909.6045,116995
1701302400000,2023-11-30,FETUSDT,0.5226,0.5376,0.5148,0.5282,33757413.0,17733889.8011,76676
1701216000000,2023-11-29,FETUSDT,0.5404,0.56,0.5205,0.5225,46643681.0,25061033.9005,105402
1701129600000,2023-11-28,FETUSDT,0.5139,0.5463,0.4888,0.54,69952853.0,36656601.5316,147617
1701043200000,2023-11-27,FETUSDT,0.5341,0.5534,0.4975,0.5138,77760099.0,40774519.5729,170883
1700956800000,2023-11-26,FETUSDT,0.5325,0.5439,0.505,0.5345,43537332.0,22915597.1396,95394
1700870400000,2023-11-25,FETUSDT,0.5318,0.5413,0.5172,0.5325,47959549.0,25337865.2707,101881
1700784000000,2023-11-24,FETUSDT,0.4963,0.5678,0.4936,0.5318,99550199.0,53821556.9819,217060
1700697600000,2023-11-23,FETUSDT,0.5161,0.5223,0.4819,0.4963,63112860.0,31437653.6359,128667
1700611200000,2023-11-22,FETUSDT,0.4603,0.5488,0.4603,0.5162,113493156.0,58980229.9506,219422
1700524800000,2023-11-21,FETUSDT,0.5195,0.5422,0.4597,0.4604,159898381.0,80825149.0535,330033
1700438400000,2023-11-20,FETUSDT,0.4996,0.5794,0.497,0.5195,182489800.0,99396314.6338,343119
1700352000000,2023-11-19,FETUSDT,0.4624,0.5173,0.4478,0.4995,139722504.0,67743304.2906,228989
1700265600000,2023-11-18,FETUSDT,0.4412,0.4669,0.3952,0.4624,103864494.0,45430680.5412,158532
1700179200000,2023-11-17,FETUSDT,0.4331,0.4824,0.413,0.4415,147866507.0,66017332.9722,250892
1700092800000,2023-11-16,FETUSDT,0.4458,0.4541,0.4124,0.4328,123306534.0,53655204.7408,215309
1700006400000,2023-11-15,FETUSDT,0.384,0.4499,0.3787,0.4458,89415274.0,37363779.24,151650
1699920000000,2023-11-14,FETUSDT,0.3737,0.3971,0.36,0.3841,81774065.0,31059158.8503,145225
1699833600000,2023-11-13,FETUSDT,0.4297,0.439,0.3718,0.3738,74824525.0,30116464.9678,136124
1699747200000,2023-11-12,FETUSDT,0.4264,0.4345,0.3898,0.4296,76737486.0,31946898.0751,145447
1699660800000,2023-11-11,FETUSDT,0.4433,0.4537,0.4182,0.4267,104598445.0,45897051.6893,186628
