Unix,Date,Symbol,Open,High,Low,Close,Volume ROSE,Volume USDT,tradecount
1718150400000,2024-06-12,ROSEUSDT,0.12056,0.13691,0.11978,0.12949,315027630.7,40437137.977147,290425
1718064000000,2024-06-11,ROSEUSDT,0.12473,0.1283,0.10837,0.12059,310975171.5,37005230.101559,242885
1717977600000,2024-06-10,ROSEUSDT,0.11761,0.12485,0.11355,0.12474,276837674.9,33068556.864114,245347
1717891200000,2024-06-09,ROSEUSDT,0.10365,0.11814,0.10345,0.11758,107900748.4,11940515.074597,96689
1717804800000,2024-06-08,ROSEUSDT,0.10832,0.11058,0.10058,0.10365,67618250.8,7114342.326623,58112
1717718400000,2024-06-07,ROSEUSDT,0.11598,0.11869,0.1032,0.10838,109528832.2,12334792.704207,102694
1717632000000,2024-06-06,ROSEUSDT,0.1166,0.12414,0.11401,0.11599,118365468.2,13985278.405645,120514
1717545600000,2024-06-05,ROSEUSDT,0.11657,0.11769,0.113,0.11659,79631465.0,9166235.492864,68459
1717459200000,2024-06-04,ROSEUSDT,0.10731,0.12058,0.10524,0.11656,256989974.7,29163299.897362,231015
1717372800000,2024-06-03,ROSEUSDT,0.09759,0.10792,0.09637,0.10733,100414920.6,10395253.283313,88790
1717286400000,2024-06-02,ROSEUSDT,0.10087,0.10303,0.09647,0.09759,55133849.9,5495827.451019,42271
1717200000000,2024-06-01,ROSEUSDT,0.10216,0.10254,0.09746,0.10082,58642616.7,5870846.542089,43883
1717113600000,2024-05-31,ROSEUSDT,0.09943,0.105,0.09749,0.1022,156880082.9,15865165.579224,110360
1717027200000,2024-05-30,ROSEUSDT,0.09214,0.1012,0.08964,0.09943,142707899.4,13765238.118287,104541
1716940800000,2024-05-29,ROSEUSDT,0.09204,0.09771,0.09144,0.09221,76332957.6,7209889.093705,63614
1716854400000,2024-05-28,ROSEUSDT,0.09277,0.09449,0.089,0.09204,77915696.1,7165144.132533,58504
1716768000000,2024-05-27,ROSEUSDT,0.08673,0.09499,0.08667,0.09277,68774030.9,6286426.546738,54938
1716681600000,2024-05-26,ROSEUSDT,0.08866,0.08913,0.08575,0.08664,31078357.8,2718987.470521,27133
1716595200000,2024-05-25,ROSEUSDT,0.08777,0.09013,0.08753,0.08866,30909552.9,2745278.425314,29864
1716508800000,2024-05-24,ROSEUSDT,0.08836,0.09036,0.08539,0.08779,43167714.9,3789965.441121,46297
1716422400000,2024-05-23,ROSEUSDT,0.09207,0.09302,0.08313,0.08842,90736839.6,8018535.110499,92228
1716336000000,2024-05-22,ROSEUSDT,0.09265,0.09516,0.09051,0.09205,63486763.8,5885599.606497,65382
1716249600000,2024-05-21,ROSEUSDT,0.09677,0.0978,0.09122,0.09271,110897596.9,10439068.625325,98451
1716163200000,2024-05-20,ROSEUSDT,0.08812,0.09739,0.08611,0.09675,93125507.3,8499506.59507,93397
1716076800000,2024-05-19,ROSEUSDT,0.09281,0.09368,0.08753,0.08812,36267844.3,3271502.336347,32403
1715990400000,2024-05-18,ROSEUSDT,0.09284,0.09532,0.09165,0.09279,37173552.2,3475758.096836,31650
1715904000000,2024-05-17,ROSEUSDT,0.08662,0.09347,0.08619,0.09287,59157071.1,5386957.431033,45850
1715817600000,2024-05-16,ROSEUSDT,0.08745,0.08979,0.08461,0.08663,56213759.2,4930609.371669,40176
1715731200000,2024-05-15,ROSEUSDT,0.08122,0.08803,0.08061,0.08749,66154534.3,5623213.22652,49524
1715644800000,2024-05-14,ROSEUSDT,0.08407,0.08484,0.08058,0.08122,51767158.3,4279173.00122,47608
1715558400000,2024-05-13,ROSEUSDT,0.08337,0.08703,0.08041,0.08412,66891054.7,5631693.044306,53382
1715472000000,2024-05-12,ROSEUSDT,0.08539,0.08619,0.08288,0.08338,35349983.9,2992133.811871,27072
1715385600000,2024-05-11,ROSEUSDT,0.08653,0.08833,0.08512,0.08538,31350515.9,2715939.739842,25220
1715299200000,2024-05-10,ROSEUSDT,0.0905,0.0926,0.08479,0.08653,83046952.6,7370319.412679,62376
1715212800000,2024-05-09,ROSEUSDT,0.08901,0.0915,0.08665,0.09049,65619760.4,5841454.933564,44830
1715126400000,2024-05-08,ROSEUSDT,0.09195,0.0923,0.08703,0.08904,80908734.0,7280409.055262,50515
