Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount
1709942400000,2024-03-09,ETHUSDT,3883.37,3942.0,3870.01,3905.21,2.548.391.386,995.823.688.313.553,819335
1709856000000,2024-03-08,ETHUSDT,3868.76,3993.75,3820.0,3883.36,6.463.992.589,25.342.099.200.055.600,1657141
1709769600000,2024-03-07,ETHUSDT,3818.58,3933.81,3735.0,3868.76,540.780.675,2.067.607.917.443.700,1636716
1709683200000,2024-03-06,ETHUSDT,3553.66,3900.0,3499.4,3818.59,969494.71,3.652.250.924.277.730,2555462
1709596800000,2024-03-05,ETHUSDT,3627.75,3822.04,3200.0,3553.65,1.392.904.864,504.384.767.968.348,3265582
1709510400000,2024-03-04,ETHUSDT,3487.8,3640.94,3423.78,3627.76,7.153.606.361,252.690.504.193.919,1953764
1709424000000,2024-03-03,ETHUSDT,3421.39,3491.8,3360.0,3487.81,341.631.531,117.227.266.098.449,1116823
1709337600000,2024-03-02,ETHUSDT,3433.42,3460.04,3390.01,3421.4,2.839.849.448,971.756.920.451.209,926113
1709251200000,2024-03-01,ETHUSDT,3340.1,3450.0,3338.54,3433.43,4.127.885.773,1.405.295.834.572.690,1263130
1709164800000,2024-02-29,ETHUSDT,3383.11,3522.81,3300.0,3340.09,7.596.981.123,260.862.310.249.017,2112875
1709078400000,2024-02-28,ETHUSDT,3242.35,3488.0,3176.16,3383.1,947.538.766,31.532.010.349.147.600,2442603
1708992000000,2024-02-27,ETHUSDT,3175.95,3288.14,3160.02,3242.36,6.259.391.221,2.025.805.516.974.930,1676466
1708905600000,2024-02-26,ETHUSDT,3112.6,3196.0,3036.59,3175.94,5.467.227.747,17.031.650.452.414.900,1391934
1708819200000,2024-02-25,ETHUSDT,2992.62,3122.0,2983.61,3112.59,4.123.062.237,1.257.766.106.546.290,1085332
1708732800000,2024-02-24,ETHUSDT,2922.25,3007.48,2906.4,2992.62,2.438.540.783,721.993.808.566.193,718718
1708646400000,2024-02-23,ETHUSDT,2971.4,2993.8,2906.05,2922.24,4.288.265.787,1.261.137.725.511.950,1003464
1708560000000,2024-02-22,ETHUSDT,2967.91,3036.02,2906.51,2971.4,5.635.259.936,1.676.206.889.451.400,1205856
