Unix,Date,Symbol,Open,High,Low,Close,Volume ALICE,Volume USDT,tradecount
1712620800000,2024-04-09,ALICEUSDT,1.917,1.935,1.833,1.848,1326544.69,2506081.37155,18484
1712534400000,2024-04-08,ALICEUSDT,1.819,1.938,1.783,1.918,1245597.25,2339653.41739,17590
1712448000000,2024-04-07,ALICEUSDT,1.763,1.842,1.763,1.819,1302081.66,2358445.42059,16576
1712361600000,2024-04-06,ALICEUSDT,1.733,1.781,1.721,1.766,891584.82,1559687.36553,9927
1712275200000,2024-04-05,ALICEUSDT,1.778,1.782,1.66,1.732,1326428.71,2284108.42243,15441
1712188800000,2024-04-04,ALICEUSDT,1.72,1.826,1.686,1.78,1113865.47,1962144.85248,13840
1712102400000,2024-04-03,ALICEUSDT,1.722,1.782,1.651,1.722,1494853.91,2596454.86609,16610
1712016000000,2024-04-02,ALICEUSDT,1.872,1.873,1.67,1.722,2383902.98,4152123.52347,29078
1711929600000,2024-04-01,ALICEUSDT,1.947,2.057,1.807,1.871,2853370.76,5496251.79204,35429
1711843200000,2024-03-31,ALICEUSDT,1.866,1.968,1.858,1.947,1316363.74,2528700.4968,16980
1711756800000,2024-03-30,ALICEUSDT,1.943,1.962,1.845,1.865,1313931.29,2504064.5618,18199
1711670400000,2024-03-29,ALICEUSDT,1.918,1.988,1.872,1.944,2226711.39,4308797.28663,29043
1711584000000,2024-03-28,ALICEUSDT,1.93,1.96,1.88,1.918,1764901.81,3397960.58938,21757
1711497600000,2024-03-27,ALICEUSDT,2.019,2.04,1.893,1.931,2101987.53,4136937.67529,29476
1711411200000,2024-03-26,ALICEUSDT,1.949,2.043,1.937,2.019,2515601.26,5026755.93881,33636
1711324800000,2024-03-25,ALICEUSDT,1.868,1.974,1.858,1.949,1910489.01,3682106.60719,24134
1711238400000,2024-03-24,ALICEUSDT,1.832,1.89,1.799,1.869,1342410.66,2477209.31031,16040
1711152000000,2024-03-23,ALICEUSDT,1.814,1.893,1.771,1.833,1590683.18,2932533.19475,20733
1711065600000,2024-03-22,ALICEUSDT,1.849,1.95,1.751,1.814,2776786.84,5145387.52516,29964
1710979200000,2024-03-21,ALICEUSDT,1.848,1.878,1.784,1.849,1775765.18,3263685.65435,20559
1710892800000,2024-03-20,ALICEUSDT,1.657,1.86,1.573,1.848,2923227.72,5023594.78039,28091
1710806400000,2024-03-19,ALICEUSDT,1.865,1.893,1.58,1.657,4810485.61,8191151.5357,48370
1710720000000,2024-03-18,ALICEUSDT,2.034,2.078,1.831,1.866,2218016.62,4333563.54366,24773
1710633600000,2024-03-17,ALICEUSDT,1.927,2.063,1.824,2.033,2668369.15,5235262.22567,32006
1710547200000,2024-03-16,ALICEUSDT,2.133,2.249,1.87,1.929,4803595.36,9982635.53497,52111
1710460800000,2024-03-15,ALICEUSDT,2.187,2.221,1.828,2.131,6784452.23,13816334.10956,87519
1710374400000,2024-03-14,ALICEUSDT,2.274,2.285,2.035,2.187,3915717.05,8493182.18782,49825
1710288000000,2024-03-13,ALICEUSDT,2.234,2.369,2.211,2.275,3342780.06,7671669.71533,47233
1710201600000,2024-03-12,ALICEUSDT,2.283,2.319,2.044,2.234,4018356.58,8862893.56381,53809
1710115200000,2024-03-11,ALICEUSDT,2.312,2.319,2.1,2.284,4510437.83,10132484.80139,62320
1710028800000,2024-03-10,ALICEUSDT,2.278,2.44,2.126,2.312,9457259.39,21608611.82933,137887
1709942400000,2024-03-09,ALICEUSDT,1.96,2.35,1.946,2.278,10126642.28,22058216.62544,129156
1709856000000,2024-03-08,ALICEUSDT,2.039,2.094,1.845,1.96,3428481.47,6778087.89858,45170
1709769600000,2024-03-07,ALICEUSDT,1.956,2.055,1.934,2.038,3319564.72,6633184.60455,47693
1709683200000,2024-03-06,ALICEUSDT,1.805,1.965,1.73,1.957,3049136.43,5733991.25669,47287
1709596800000,2024-03-05,ALICEUSDT,2.001,2.07,1.501,1.807,6015170.49,11338353.44637,93824
1709510400000,2024-03-04,ALICEUSDT,1.99,2.153,1.93,2.001,5060554.39,10266216.34481,75466
1709424000000,2024-03-03,ALICEUSDT,2.022,2.098,1.782,1.986,3975824.66,7965514.04017,55742
1709337600000,2024-03-02,ALICEUSDT,1.921,2.036,1.88,2.023,3772206.06,7381996.83011,51385
1709251200000,2024-03-01,ALICEUSDT,1.802,1.941,1.79,1.921,3596121.94,6698713.80881,49569
1709164800000,2024-02-29,ALICEUSDT,1.801,1.93,1.729,1.8,6230566.27,11499474.39171,88688
1709078400000,2024-02-28,ALICEUSDT,1.791,2.19,1.596,1.802,13919133.13,26753175.42846,202892
1708992000000,2024-02-27,ALICEUSDT,1.82,1.9,1.753,1.791,8261249.65,15025569.83987,105172
1708905600000,2024-02-26,ALICEUSDT,1.583,2.058,1.566,1.819,27138983.28,51155261.88169,378395
1708819200000,2024-02-25,ALICEUSDT,1.463,1.586,1.447,1.585,2700212.66,4101215.48174,36350
1708732800000,2024-02-24,ALICEUSDT,1.4,1.508,1.371,1.463,1759038.43,2559880.57853,22717
1708646400000,2024-02-23,ALICEUSDT,1.407,1.446,1.363,1.399,2284568.03,3211557.40616,26071
1708560000000,2024-02-22,ALICEUSDT,1.299,1.511,1.27,1.407,5672703.05,8097803.30865,64141
1708473600000,2024-02-21,ALICEUSDT,1.337,1.339,1.226,1.3,1560255.97,1989860.90492,16608
1708387200000,2024-02-20,ALICEUSDT,1.39,1.405,1.258,1.337,1951910.14,2614834.0655,24131
1708300800000,2024-02-19,ALICEUSDT,1.359,1.405,1.352,1.39,1257053.33,1732715.33797,18286
1708214400000,2024-02-18,ALICEUSDT,1.326,1.385,1.306,1.359,1299334.97,1760841.6107,15834
1708128000000,2024-02-17,ALICEUSDT,1.325,1.342,1.269,1.326,1540442.59,2013860.87586,20222
1708041600000,2024-02-16,ALICEUSDT,1.304,1.451,1.283,1.326,3941267.0,5315910.10983,46997
1707955200000,2024-02-15,ALICEUSDT,1.28,1.311,1.273,1.303,1546599.37,1999376.19577,16374
1707868800000,2024-02-14,ALICEUSDT,1.216,1.288,1.205,1.279,1312642.26,1659170.9979,15663
1707782400000,2024-02-13,ALICEUSDT,1.216,1.253,1.183,1.215,1498193.11,1825007.45871,16062
1707696000000,2024-02-12,ALICEUSDT,1.175,1.222,1.144,1.217,1200865.76,1421524.30945,13514
1707609600000,2024-02-11,ALICEUSDT,1.178,1.209,1.168,1.175,767834.18,911408.6054,7616
1707523200000,2024-02-10,ALICEUSDT,1.202,1.208,1.164,1.178,676367.12,801907.52874,7087
1707436800000,2024-02-09,ALICEUSDT,1.143,1.22,1.143,1.201,1499432.91,1777726.85319,14864
1707350400000,2024-02-08,ALICEUSDT,1.149,1.162,1.133,1.143,822822.71,942032.3144,8627
1707264000000,2024-02-07,ALICEUSDT,1.112,1.16,1.107,1.148,1110412.89,1255317.26828,11538
1707177600000,2024-02-06,ALICEUSDT,1.081,1.117,1.076,1.112,872376.26,958491.81533,8729
1707091200000,2024-02-05,ALICEUSDT,1.067,1.09,1.05,1.081,572842.47,615193.3737,7843
1707004800000,2024-02-04,ALICEUSDT,1.087,1.089,1.062,1.068,688838.54,741429.20659,7862
1706918400000,2024-02-03,ALICEUSDT,1.114,1.124,1.084,1.087,794825.45,877577.05342,9502
1706832000000,2024-02-02,ALICEUSDT,1.096,1.116,1.087,1.114,627422.03,691225.71546,8786
1706745600000,2024-02-01,ALICEUSDT,1.084,1.114,1.061,1.095,1095275.2,1188893.56645,11289
1706659200000,2024-01-31,ALICEUSDT,1.134,1.141,1.075,1.085,1447917.48,1609043.95568,13450
1706572800000,2024-01-30,ALICEUSDT,1.144,1.172,1.127,1.134,994865.17,1145020.85568,11017
1706486400000,2024-01-29,ALICEUSDT,1.121,1.146,1.095,1.143,910176.17,1022941.19857,9703
1706400000000,2024-01-28,ALICEUSDT,1.136,1.156,1.104,1.12,1059775.8,1198111.43062,9372
1706313600000,2024-01-27,ALICEUSDT,1.117,1.144,1.104,1.136,970373.42,1090814.53459,7552
1706227200000,2024-01-26,ALICEUSDT,1.064,1.118,1.054,1.116,1017113.12,1116003.62031,9651
1706140800000,2024-01-25,ALICEUSDT,1.076,1.076,1.025,1.065,1177098.6,1243059.48599,12247
1706054400000,2024-01-24,ALICEUSDT,1.054,1.082,1.038,1.076,1048616.79,1113272.52888,11715
1705968000000,2024-01-23,ALICEUSDT,1.092,1.114,1.0,1.054,2139540.41,2230832.29578,22656
1705881600000,2024-01-22,ALICEUSDT,1.171,1.186,1.078,1.092,1670266.0,1882754.80125,18823
1705795200000,2024-01-21,ALICEUSDT,1.165,1.212,1.147,1.171,1675770.01,1971749.87178,16938
1705708800000,2024-01-20,ALICEUSDT,1.133,1.166,1.123,1.165,1244940.48,1430203.90189,13832
1705622400000,2024-01-19,ALICEUSDT,1.137,1.151,1.068,1.133,2291506.09,2560118.05968,22947
1705536000000,2024-01-18,ALICEUSDT,1.214,1.218,1.114,1.137,1294734.89,1515853.14085,16564
1705449600000,2024-01-17,ALICEUSDT,1.247,1.269,1.193,1.213,2206110.45,2717839.86342,20441
1705363200000,2024-01-16,ALICEUSDT,1.212,1.257,1.193,1.247,1000824.36,1230132.01949,13936
1705276800000,2024-01-15,ALICEUSDT,1.186,1.235,1.184,1.212,1382023.38,1679093.92551,14305
1705190400000,2024-01-14,ALICEUSDT,1.268,1.282,1.182,1.184,1559437.37,1936099.6004,16470
1705104000000,2024-01-13,ALICEUSDT,1.247,1.283,1.192,1.269,1509545.39,1882313.7153,16863
1705017600000,2024-01-12,ALICEUSDT,1.288,1.32,1.2,1.245,2962170.24,3767707.60144,29196
1704931200000,2024-01-11,ALICEUSDT,1.253,1.3,1.232,1.287,2015253.05,2561879.49836,23170
1704844800000,2024-01-10,ALICEUSDT,1.128,1.273,1.107,1.252,2151821.47,2525347.23746,24438
1704758400000,2024-01-09,ALICEUSDT,1.196,1.211,1.078,1.128,2031113.47,2299522.35999,21662
1704672000000,2024-01-08,ALICEUSDT,1.129,1.205,1.036,1.196,2407532.06,2691590.53698,26334
1704585600000,2024-01-07,ALICEUSDT,1.202,1.249,1.116,1.129,1760583.81,2102151.13746,18963
1704499200000,2024-01-06,ALICEUSDT,1.238,1.239,1.146,1.201,1426116.73,1701384.34877,16621
1704412800000,2024-01-05,ALICEUSDT,1.3,1.312,1.192,1.238,2654730.76,3340095.55179,33376
1704326400000,2024-01-04,ALICEUSDT,1.264,1.35,1.241,1.298,1742755.29,2269939.85261,21822
1704240000000,2024-01-03,ALICEUSDT,1.438,1.532,1.14,1.264,4139589.24,5471296.72306,50929
1704153600000,2024-01-02,ALICEUSDT,1.483,1.516,1.409,1.436,1570346.3,2311804.92567,21011
1704067200000,2024-01-01,ALICEUSDT,1.381,1.504,1.359,1.481,1655552.76,2380781.31975,21593
1703980800000,2023-12-31,ALICEUSDT,1.422,1.45,1.35,1.382,1411727.94,2004381.77923,17227
1703894400000,2023-12-30,ALICEUSDT,1.448,1.47,1.392,1.421,1611228.22,2308622.3821,18993
1703808000000,2023-12-29,ALICEUSDT,1.451,1.497,1.412,1.448,1218169.26,1774881.397,16680
1703721600000,2023-12-28,ALICEUSDT,1.523,1.561,1.433,1.45,2175877.73,3238903.83212,27255
1703635200000,2023-12-27,ALICEUSDT,1.574,1.578,1.492,1.522,2107326.92,3233660.51022,24276
1703548800000,2023-12-26,ALICEUSDT,1.56,1.638,1.444,1.573,3254437.99,5102227.29687,42070
1703462400000,2023-12-25,ALICEUSDT,1.543,1.639,1.503,1.559,4825983.91,7621723.21578,55911
1703376000000,2023-12-24,ALICEUSDT,1.403,1.6,1.387,1.543,7285659.36,10977257.83053,85398
1703289600000,2023-12-23,ALICEUSDT,1.359,1.41,1.313,1.402,1975589.58,2673747.09788,20461
1703203200000,2023-12-22,ALICEUSDT,1.31,1.39,1.28,1.36,3849957.31,5116553.07847,36228
1703116800000,2023-12-21,ALICEUSDT,1.276,1.332,1.264,1.309,3264185.87,4246237.65016,32470
1703030400000,2023-12-20,ALICEUSDT,1.173,1.317,1.159,1.276,3684918.22,4616337.00952,36808
1702944000000,2023-12-19,ALICEUSDT,1.171,1.23,1.155,1.173,1715214.94,2056795.75159,17269
1702857600000,2023-12-18,ALICEUSDT,1.225,1.255,1.09,1.172,2318353.79,2664485.153,21876
1702771200000,2023-12-17,ALICEUSDT,1.217,1.266,1.182,1.225,2282654.35,2788319.16577,22207
1702684800000,2023-12-16,ALICEUSDT,1.185,1.238,1.169,1.217,1839907.17,2238407.18777,17270
1702598400000,2023-12-15,ALICEUSDT,1.276,1.277,1.17,1.186,1916091.77,2342099.98653,19818
1702512000000,2023-12-14,ALICEUSDT,1.296,1.315,1.21,1.276,3136864.75,3970300.14945,31291
1702425600000,2023-12-13,ALICEUSDT,1.333,1.338,1.217,1.294,4090039.87,5209364.44526,36953
1702339200000,2023-12-12,ALICEUSDT,1.179,1.349,1.178,1.333,5689809.95,7199873.30936,46879
1702252800000,2023-12-11,ALICEUSDT,1.275,1.282,1.055,1.179,4243067.05,4912243.0363,39413
1702166400000,2023-12-10,ALICEUSDT,1.255,1.32,1.245,1.274,2557822.96,3274067.00009,21961
1702080000000,2023-12-09,ALICEUSDT,1.264,1.323,1.241,1.257,3218145.88,4129718.13699,28900
1701993600000,2023-12-08,ALICEUSDT,1.232,1.274,1.21,1.264,2279315.12,2824567.20566,17526
1701907200000,2023-12-07,ALICEUSDT,1.151,1.25,1.149,1.232,4114809.86,4963552.09134,32694
1701820800000,2023-12-06,ALICEUSDT,1.207,1.225,1.131,1.15,3139314.55,3695219.17761,24130
1701734400000,2023-12-05,ALICEUSDT,1.191,1.218,1.151,1.207,4106378.97,4888528.29666,25886
1701648000000,2023-12-04,ALICEUSDT,1.155,1.225,1.08,1.191,5405948.53,6343563.98097,38073
