Unix,Date,Symbol,Open,High,Low,Close,Volume SAND,Volume USDT,tradecount
1719964800000,2024-07-03,SANDUSDT,0.3301,0.3317,0.3107,0.3136,11066423.0,3547584.6587,25024
1719878400000,2024-07-02,SANDUSDT,0.3279,0.3364,0.3234,0.3302,6014251.0,1976372.3886,14187
1719792000000,2024-07-01,SANDUSDT,0.3315,0.3368,0.3258,0.328,6587936.0,2187890.6108,14764
1719705600000,2024-06-30,SANDUSDT,0.3259,0.3331,0.3223,0.3314,7157914.0,2341134.9169,13461
1719619200000,2024-06-29,SANDUSDT,0.3362,0.3426,0.3244,0.3258,5116367.0,1704689.3887,11406
1719532800000,2024-06-28,SANDUSDT,0.3406,0.3451,0.3353,0.3361,7691032.0,2609348.5928,15255
1719446400000,2024-06-27,SANDUSDT,0.334,0.3439,0.3287,0.3407,7570280.0,2553708.1669,14989
1719360000000,2024-06-26,SANDUSDT,0.3374,0.3404,0.3287,0.334,7792912.0,2608012.5118,15942
1719273600000,2024-06-25,SANDUSDT,0.3277,0.3413,0.326,0.3376,10224030.0,3401669.1112,18580
1719187200000,2024-06-24,SANDUSDT,0.3214,0.3282,0.3045,0.3277,19407649.0,6179563.2653,35657
1719100800000,2024-06-23,SANDUSDT,0.3308,0.3357,0.3175,0.3212,7940829.0,2601605.6787,15705
1719014400000,2024-06-22,SANDUSDT,0.3318,0.3339,0.3271,0.3307,5497910.0,1819918.8882,11744
1718928000000,2024-06-21,SANDUSDT,0.3299,0.3384,0.3261,0.3317,10553912.0,3514646.2895,23502
1718841600000,2024-06-20,SANDUSDT,0.3241,0.3415,0.3224,0.3299,14858364.0,4924038.8718,26280
1718755200000,2024-06-19,SANDUSDT,0.3121,0.3275,0.3098,0.3242,17167802.0,5510124.0781,27759
1718668800000,2024-06-18,SANDUSDT,0.3373,0.37,0.2924,0.3121,50467059.0,15723537.1142,91133
1718582400000,2024-06-17,SANDUSDT,0.3831,0.3852,0.3324,0.3371,32877936.0,11668989.4084,58109
1718496000000,2024-06-16,SANDUSDT,0.3841,0.3869,0.3792,0.383,6263353.0,2403065.221,14751
1718409600000,2024-06-15,SANDUSDT,0.3787,0.3864,0.3765,0.3841,5923649.0,2262849.5845,12773
1718323200000,2024-06-14,SANDUSDT,0.3929,0.3982,0.3697,0.3786,17338859.0,6671215.1204,36973
1718236800000,2024-06-13,SANDUSDT,0.4112,0.412,0.3884,0.3928,11373121.0,4541338.9483,30458
1718150400000,2024-06-12,SANDUSDT,0.3928,0.4183,0.3845,0.4111,14873466.0,6042959.2963,36476
1718064000000,2024-06-11,SANDUSDT,0.4133,0.4154,0.3853,0.3928,24444931.0,9756481.1534,45527
1717977600000,2024-06-10,SANDUSDT,0.4223,0.4255,0.4099,0.4132,12757378.0,5319252.4965,27877
1717891200000,2024-06-09,SANDUSDT,0.4102,0.424,0.4018,0.4224,12421668.0,5146535.5844,21782
1717804800000,2024-06-08,SANDUSDT,0.4343,0.4377,0.4059,0.4104,29055316.0,12162969.8464,50519
1717718400000,2024-06-07,SANDUSDT,0.4734,0.48,0.4,0.4344,39957217.0,17939636.8553,87815
1717632000000,2024-06-06,SANDUSDT,0.471,0.4915,0.4624,0.4733,34778622.0,16608750.9892,71905
1717545600000,2024-06-05,SANDUSDT,0.4624,0.4762,0.4603,0.471,18048333.0,8448202.6651,36699
1717459200000,2024-06-04,SANDUSDT,0.4534,0.464,0.4447,0.4624,21527413.0,9799876.4679,37378
1717372800000,2024-06-03,SANDUSDT,0.4359,0.472,0.43,0.4532,37544052.0,17235196.4946,61486
1717286400000,2024-06-02,SANDUSDT,0.4379,0.4525,0.4355,0.4359,23001234.0,10236064.4845,34456
1717200000000,2024-06-01,SANDUSDT,0.4321,0.4439,0.4302,0.438,8651977.0,3763156.2698,18955
1717113600000,2024-05-31,SANDUSDT,0.4385,0.4413,0.4251,0.4321,13844289.0,5999117.5635,29802
1717027200000,2024-05-30,SANDUSDT,0.4434,0.4516,0.4287,0.4385,13236895.0,5828086.5275,33963
1716940800000,2024-05-29,SANDUSDT,0.4496,0.4617,0.4421,0.4435,15898007.0,7203027.1711,32592
1716854400000,2024-05-28,SANDUSDT,0.4592,0.4624,0.4404,0.4497,18880304.0,8464541.3556,35666
1716768000000,2024-05-27,SANDUSDT,0.4411,0.4679,0.4373,0.4592,13817865.0,6250040.238,29467
1716681600000,2024-05-26,SANDUSDT,0.4565,0.4574,0.4377,0.4411,9497610.0,4252632.9252,19771
1716595200000,2024-05-25,SANDUSDT,0.4476,0.4597,0.4464,0.4565,10717948.0,4866786.4409,18733
1716508800000,2024-05-24,SANDUSDT,0.4424,0.453,0.433,0.4476,14102328.0,6255268.1237,27661
1716422400000,2024-05-23,SANDUSDT,0.4566,0.4648,0.4152,0.4423,27635696.0,12228586.0631,63349
1716336000000,2024-05-22,SANDUSDT,0.4662,0.4696,0.4501,0.4563,16348276.0,7521737.8064,36102
1716249600000,2024-05-21,SANDUSDT,0.4673,0.4742,0.4606,0.4661,21656991.0,10107816.8357,44865
1716163200000,2024-05-20,SANDUSDT,0.4253,0.468,0.4195,0.467,25900974.0,11570396.781,59514
1716076800000,2024-05-19,SANDUSDT,0.4465,0.4503,0.423,0.4253,10224444.0,4482736.415,19434
1715990400000,2024-05-18,SANDUSDT,0.4478,0.4498,0.4412,0.4465,6551398.0,2922240.5439,12869
1715904000000,2024-05-17,SANDUSDT,0.4367,0.4553,0.4317,0.4479,11250227.0,4993993.1948,20529
1715817600000,2024-05-16,SANDUSDT,0.4383,0.4424,0.4246,0.4367,15459026.0,6723569.2996,24403
1715731200000,2024-05-15,SANDUSDT,0.4064,0.4429,0.4041,0.4383,14945417.0,6333658.4051,29545
1715644800000,2024-05-14,SANDUSDT,0.4164,0.419,0.4049,0.4062,11811027.0,4871685.359,22943
1715558400000,2024-05-13,SANDUSDT,0.4167,0.4279,0.4007,0.4164,12620839.0,5243144.2246,28242
1715472000000,2024-05-12,SANDUSDT,0.4202,0.4258,0.4137,0.4165,7366830.0,3100233.9011,14139
1715385600000,2024-05-11,SANDUSDT,0.4221,0.43,0.4191,0.4201,7488736.0,3181735.8114,16253
1715299200000,2024-05-10,SANDUSDT,0.4425,0.4497,0.418,0.4222,17205618.0,7437908.1219,36447
1715212800000,2024-05-09,SANDUSDT,0.4307,0.4459,0.4212,0.4425,10325362.0,4474818.2383,20572
1715126400000,2024-05-08,SANDUSDT,0.4327,0.4393,0.4194,0.4309,14940469.0,6430264.8397,29035
1715040000000,2024-05-07,SANDUSDT,0.4428,0.4476,0.4311,0.4328,19074427.0,8406689.2716,29351
1714953600000,2024-05-06,SANDUSDT,0.4516,0.4709,0.4424,0.4427,22040175.0,10042176.6132,39910
1714867200000,2024-05-05,SANDUSDT,0.4492,0.4581,0.4409,0.4517,11692666.0,5247614.5991,22715
1714780800000,2024-05-04,SANDUSDT,0.4511,0.4558,0.4461,0.4493,14515398.0,6541754.1228,22704
1714694400000,2024-05-03,SANDUSDT,0.434,0.455,0.428,0.4511,17617350.0,7789396.558,31917
1714608000000,2024-05-02,SANDUSDT,0.4241,0.439,0.4119,0.4338,19223867.0,8216319.3663,30601
1714521600000,2024-05-01,SANDUSDT,0.4183,0.43,0.3959,0.4242,35028269.0,14457302.262,62004
1714435200000,2024-04-30,SANDUSDT,0.4438,0.4487,0.4023,0.4183,29018510.0,12150272.8749,46773
1714348800000,2024-04-29,SANDUSDT,0.448,0.4531,0.4311,0.4433,18836656.0,8271438.2594,32308
1714262400000,2024-04-28,SANDUSDT,0.4561,0.4673,0.4461,0.4481,13055268.0,5989400.1864,22099
1714176000000,2024-04-27,SANDUSDT,0.4553,0.4634,0.4364,0.456,21061737.0,9478149.4134,40874
1714089600000,2024-04-26,SANDUSDT,0.4631,0.4671,0.4487,0.4551,20940789.0,9599338.8787,41189
1714003200000,2024-04-25,SANDUSDT,0.4645,0.4719,0.4447,0.4632,24166017.0,11084826.9413,47157
1713916800000,2024-04-24,SANDUSDT,0.4888,0.5064,0.458,0.4642,36789711.0,17900165.4911,67436
1713830400000,2024-04-23,SANDUSDT,0.4909,0.4939,0.4782,0.4889,25048516.0,12202738.1174,35631
1713744000000,2024-04-22,SANDUSDT,0.4748,0.4964,0.4708,0.4911,19192319.0,9348985.2701,36976
1713657600000,2024-04-21,SANDUSDT,0.4829,0.4933,0.4679,0.4748,17625927.0,8466929.4989,36866
1713571200000,2024-04-20,SANDUSDT,0.4414,0.485,0.4355,0.483,21560496.0,9975173.2733,40316
1713484800000,2024-04-19,SANDUSDT,0.4397,0.4514,0.4027,0.4414,40883628.0,17751589.3964,74744
1713398400000,2024-04-18,SANDUSDT,0.4294,0.4439,0.4177,0.4397,28770369.0,12407547.2368,60474
1713312000000,2024-04-17,SANDUSDT,0.4359,0.4457,0.4095,0.4298,38204408.0,16398186.2092,64604
1713225600000,2024-04-16,SANDUSDT,0.4306,0.441,0.4095,0.436,37495987.0,16003359.3564,74425
1713139200000,2024-04-15,SANDUSDT,0.4449,0.4708,0.4128,0.4306,72121128.0,32039323.312,114102
1713052800000,2024-04-14,SANDUSDT,0.415,0.4503,0.396,0.4449,100314760.0,42386917.7862,187220
1712966400000,2024-04-13,SANDUSDT,0.512,0.5125,0.3603,0.415,151215480.0,67993216.1652,342539
1712880000000,2024-04-12,SANDUSDT,0.6093,0.623,0.4821,0.512,76349762.0,41430834.6289,196296
1712793600000,2024-04-11,SANDUSDT,0.611,0.6296,0.6012,0.6093,27285560.0,16765116.3576,48643
1712707200000,2024-04-10,SANDUSDT,0.6208,0.6292,0.5816,0.6109,36273641.0,21884603.9916,73306
1712620800000,2024-04-09,SANDUSDT,0.6489,0.6516,0.6181,0.6212,26952491.0,17144545.4392,64250
1712534400000,2024-04-08,SANDUSDT,0.6162,0.6536,0.6045,0.6489,26980040.0,17183324.1947,56052
1712448000000,2024-04-07,SANDUSDT,0.6103,0.6236,0.6077,0.616,17030447.0,10495738.3641,37261
1712361600000,2024-04-06,SANDUSDT,0.6013,0.6148,0.5982,0.6103,12503675.0,7577568.493,27295
1712275200000,2024-04-05,SANDUSDT,0.6079,0.6092,0.5779,0.6012,23868584.0,14239601.7861,52845
1712188800000,2024-04-04,SANDUSDT,0.5937,0.6188,0.5814,0.6078,26476199.0,15949109.4736,55107
1712102400000,2024-04-03,SANDUSDT,0.607,0.6218,0.5824,0.5938,33963774.0,20522828.2171,74420
1712016000000,2024-04-02,SANDUSDT,0.6601,0.6601,0.6,0.607,48673694.0,30149730.2158,116498
1711929600000,2024-04-01,SANDUSDT,0.7023,0.7073,0.6395,0.6601,42671399.0,28419411.1778,114207
1711843200000,2024-03-31,SANDUSDT,0.6936,0.7059,0.6893,0.7023,17117386.0,11950365.6341,45265
1711756800000,2024-03-30,SANDUSDT,0.7142,0.7229,0.6883,0.6937,28923574.0,20391960.2507,66034
1711670400000,2024-03-29,SANDUSDT,0.6959,0.7181,0.6835,0.7144,51509718.0,36184429.8445,119415
1711584000000,2024-03-28,SANDUSDT,0.6837,0.705,0.6695,0.6959,38957853.0,26874856.9643,93616
1711497600000,2024-03-27,SANDUSDT,0.7211,0.7371,0.6729,0.6837,65241867.0,45548499.7317,152894
1711411200000,2024-03-26,SANDUSDT,0.6943,0.7283,0.6857,0.721,64996232.0,46107161.4024,139120
1711324800000,2024-03-25,SANDUSDT,0.6825,0.7043,0.6653,0.6946,43809292.0,30024956.8426,103172
1711238400000,2024-03-24,SANDUSDT,0.6692,0.6853,0.6543,0.6825,31228937.0,20909177.9195,75903
1711152000000,2024-03-23,SANDUSDT,0.6508,0.6908,0.6417,0.6694,58202882.0,39179422.5774,155341
1711065600000,2024-03-22,SANDUSDT,0.6373,0.6676,0.6204,0.6508,57500855.0,37073581.4938,158865
1710979200000,2024-03-21,SANDUSDT,0.6455,0.658,0.6234,0.6374,46884288.0,30061888.7808,115745
1710892800000,2024-03-20,SANDUSDT,0.5689,0.6497,0.5445,0.6455,71537189.0,42847741.9536,176627
1710806400000,2024-03-19,SANDUSDT,0.6147,0.6212,0.5459,0.569,85315906.0,49375525.3156,217094
1710720000000,2024-03-18,SANDUSDT,0.6493,0.6533,0.5994,0.6151,45616056.0,28517452.3333,105036
1710633600000,2024-03-17,SANDUSDT,0.6274,0.6576,0.5932,0.6494,44452531.0,28081218.0086,116612
1710547200000,2024-03-16,SANDUSDT,0.6835,0.7088,0.6112,0.6274,63179524.0,41914046.6961,182852
1710460800000,2024-03-15,SANDUSDT,0.7366,0.7441,0.6314,0.6835,87608590.0,59366907.9722,265801
1710374400000,2024-03-14,SANDUSDT,0.7604,0.766,0.69,0.7365,71168264.0,52264558.1702,185557
1710288000000,2024-03-13,SANDUSDT,0.7656,0.7796,0.735,0.7604,53246287.0,40381350.0075,145081
1710201600000,2024-03-12,SANDUSDT,0.7918,0.8128,0.7076,0.7655,79039299.0,59949015.3701,251890
1710115200000,2024-03-11,SANDUSDT,0.7816,0.7959,0.7277,0.7919,101840763.0,78276244.9548,288446
1710028800000,2024-03-10,SANDUSDT,0.7536,0.8266,0.7521,0.7816,171262190.0,135605654.6357,496524
1709942400000,2024-03-09,SANDUSDT,0.686,0.7781,0.6797,0.7535,137118789.0,101462613.0415,332354
1709856000000,2024-03-08,SANDUSDT,0.6961,0.7085,0.6428,0.6861,61321257.0,41652831.4141,160551
1709769600000,2024-03-07,SANDUSDT,0.6795,0.7104,0.6711,0.696,68995721.0,47818883.9777,196297
1709683200000,2024-03-06,SANDUSDT,0.6447,0.6823,0.6117,0.6795,83005915.0,54272471.4834,243793
1709596800000,2024-03-05,SANDUSDT,0.6889,0.7443,0.55,0.6445,137563900.0,93399952.5072,490941
1709510400000,2024-03-04,SANDUSDT,0.6736,0.7145,0.6544,0.6888,80529816.0,55137733.1763,232546
1709424000000,2024-03-03,SANDUSDT,0.691,0.73,0.5959,0.6736,99017684.0,66601225.2456,256843
1709337600000,2024-03-02,SANDUSDT,0.6641,0.7086,0.6499,0.691,78920264.0,53418678.496,219286
1709251200000,2024-03-01,SANDUSDT,0.6084,0.6712,0.5881,0.6641,94373888.0,59573005.5717,257134
1709164800000,2024-02-29,SANDUSDT,0.5558,0.6176,0.549,0.6084,91748152.0,53632153.8273,244358
1709078400000,2024-02-28,SANDUSDT,0.5623,0.5853,0.5003,0.5558,101622695.0,56575746.9921,245141
1708992000000,2024-02-27,SANDUSDT,0.5409,0.57,0.5315,0.562,71654514.0,39281602.5543,152410
1708905600000,2024-02-26,SANDUSDT,0.5194,0.5483,0.5145,0.5409,74303571.0,39551131.5709,166847
1708819200000,2024-02-25,SANDUSDT,0.5217,0.5241,0.5097,0.5193,23485191.0,12109452.5452,48581
1708732800000,2024-02-24,SANDUSDT,0.4965,0.5242,0.4896,0.5217,34467647.0,17651342.269,72988
1708646400000,2024-02-23,SANDUSDT,0.5001,0.5086,0.4847,0.4966,32258828.0,16062578.2809,79396
1708560000000,2024-02-22,SANDUSDT,0.4917,0.5097,0.4789,0.4998,23385542.0,11589861.1855,54437
1708473600000,2024-02-21,SANDUSDT,0.5147,0.5151,0.4739,0.4917,27802055.0,13633046.798,59994
1708387200000,2024-02-20,SANDUSDT,0.5284,0.5329,0.4917,0.5148,44410315.0,22826266.8637,87772
1708300800000,2024-02-19,SANDUSDT,0.5103,0.5328,0.5047,0.5284,33975728.0,17511006.9843,59886
1708214400000,2024-02-18,SANDUSDT,0.5063,0.516,0.4929,0.5103,22634250.0,11433373.1151,44997
1708128000000,2024-02-17,SANDUSDT,0.4946,0.52,0.4835,0.5064,44317334.0,22307887.0878,90525
1708041600000,2024-02-16,SANDUSDT,0.4931,0.5088,0.4834,0.4945,29464294.0,14617491.701,54738
1707955200000,2024-02-15,SANDUSDT,0.4795,0.498,0.4763,0.493,32757073.0,16018407.0412,64237
1707868800000,2024-02-14,SANDUSDT,0.4657,0.485,0.4615,0.4795,21498450.0,10212153.574,44454
1707782400000,2024-02-13,SANDUSDT,0.4813,0.4853,0.4548,0.4657,22833449.0,10710118.5556,48516
1707696000000,2024-02-12,SANDUSDT,0.4676,0.4843,0.4563,0.4813,19542655.0,9230750.7099,41148
1707609600000,2024-02-11,SANDUSDT,0.4716,0.4764,0.465,0.4674,10428482.0,4913966.3541,23379
1707523200000,2024-02-10,SANDUSDT,0.4714,0.4783,0.4628,0.4716,17335794.0,8164835.6692,39015
1707436800000,2024-02-09,SANDUSDT,0.4516,0.4739,0.4516,0.4712,21619246.0,10003757.6822,41364
1707350400000,2024-02-08,SANDUSDT,0.4456,0.4528,0.4431,0.4515,14605574.0,6549131.1201,27686
1707264000000,2024-02-07,SANDUSDT,0.4334,0.4489,0.4278,0.4457,12588766.0,5508001.8572,24697
1707177600000,2024-02-06,SANDUSDT,0.4309,0.4383,0.4267,0.4333,10221691.0,4422150.9184,20328
1707091200000,2024-02-05,SANDUSDT,0.4272,0.4375,0.4178,0.4308,14381146.0,6171252.5152,29434
1707004800000,2024-02-04,SANDUSDT,0.4387,0.4387,0.4256,0.4272,11553696.0,5001099.1066,25488
1706918400000,2024-02-03,SANDUSDT,0.4437,0.4479,0.4361,0.4388,8162846.0,3604830.5378,17241
1706832000000,2024-02-02,SANDUSDT,0.4404,0.4491,0.4357,0.4433,10993233.0,4860253.1904,20700
1706745600000,2024-02-01,SANDUSDT,0.4365,0.4411,0.4267,0.4404,16531338.0,7192922.5876,30558
1706659200000,2024-01-31,SANDUSDT,0.4542,0.4561,0.435,0.4366,22292000.0,9915663.3736,40344
1706572800000,2024-01-30,SANDUSDT,0.4641,0.4682,0.4522,0.4542,18737616.0,8663198.3248,31929
1706486400000,2024-01-29,SANDUSDT,0.4504,0.4656,0.4434,0.464,17267960.0,7863982.5368,30326
1706400000000,2024-01-28,SANDUSDT,0.4549,0.4698,0.4464,0.4504,18169623.0,8346454.6286,34707
1706313600000,2024-01-27,SANDUSDT,0.4532,0.4571,0.4459,0.4548,8261335.0,3738954.5695,16860
1706227200000,2024-01-26,SANDUSDT,0.4384,0.4561,0.433,0.4532,14640894.0,6536705.3577,28793
1706140800000,2024-01-25,SANDUSDT,0.4455,0.4455,0.4294,0.4383,13087122.0,5722231.7289,26902
1706054400000,2024-01-24,SANDUSDT,0.4413,0.4491,0.4324,0.4455,16987056.0,7485350.7606,26501
1705968000000,2024-01-23,SANDUSDT,0.454,0.462,0.4164,0.4412,33532880.0,14531668.0348,59545
1705881600000,2024-01-22,SANDUSDT,0.4859,0.4876,0.45,0.454,24404072.0,11387034.2059,53721
1705795200000,2024-01-21,SANDUSDT,0.4875,0.4972,0.4835,0.4859,12881139.0,6332326.7066,26021
1705708800000,2024-01-20,SANDUSDT,0.4886,0.4923,0.4781,0.4876,14264057.0,6924678.2339,29768
1705622400000,2024-01-19,SANDUSDT,0.481,0.4928,0.4536,0.4886,34972738.0,16668688.0852,78238
1705536000000,2024-01-18,SANDUSDT,0.5074,0.5077,0.4703,0.4806,17018960.0,8350214.0277,41955
1705449600000,2024-01-17,SANDUSDT,0.5195,0.5231,0.4985,0.5074,16348554.0,8319783.5778,41994
1705363200000,2024-01-16,SANDUSDT,0.5022,0.525,0.4962,0.5196,20532325.0,10519682.0174,52455
1705276800000,2024-01-15,SANDUSDT,0.4895,0.5093,0.4885,0.502,20024256.0,10032523.4371,50804
1705190400000,2024-01-14,SANDUSDT,0.5098,0.5111,0.488,0.4894,15263796.0,7658806.6399,41516
1705104000000,2024-01-13,SANDUSDT,0.5038,0.5147,0.4866,0.5099,16137522.0,8158453.2674,48189
1705017600000,2024-01-12,SANDUSDT,0.5376,0.5539,0.485,0.5036,39153808.0,20633856.794,114431
1704931200000,2024-01-11,SANDUSDT,0.5215,0.5489,0.5127,0.5376,33885312.0,18058049.7964,114343
1704844800000,2024-01-10,SANDUSDT,0.4778,0.5339,0.467,0.5216,51251262.0,25222300.719,134034
1704758400000,2024-01-09,SANDUSDT,0.5025,0.5033,0.4606,0.4776,27921635.0,13358414.6337,84045
1704672000000,2024-01-08,SANDUSDT,0.4692,0.5058,0.4354,0.5024,35278366.0,16509595.2669,110536
1704585600000,2024-01-07,SANDUSDT,0.4989,0.5157,0.464,0.4692,24299776.0,12025989.7315,68329
1704499200000,2024-01-06,SANDUSDT,0.5126,0.5127,0.4731,0.499,20064329.0,9892331.9678,59979
1704412800000,2024-01-05,SANDUSDT,0.5377,0.5432,0.4909,0.5125,27191405.0,13947673.7297,85933
1704326400000,2024-01-04,SANDUSDT,0.517,0.5439,0.5026,0.5376,35177886.0,18444057.8715,86409
1704240000000,2024-01-03,SANDUSDT,0.5869,0.5996,0.45,0.5169,80355975.0,42735379.6635,206407
1704153600000,2024-01-02,SANDUSDT,0.6037,0.62,0.5789,0.5868,29213486.0,17567893.9944,81920
1704067200000,2024-01-01,SANDUSDT,0.5947,0.64,0.5814,0.6037,44764301.0,26876390.8925,109966
1703980800000,2023-12-31,SANDUSDT,0.5757,0.6048,0.5712,0.5947,30559362.0,18069046.2202,81074
1703894400000,2023-12-30,SANDUSDT,0.5745,0.5854,0.5596,0.5757,20185852.0,11600814.2635,48924
1703808000000,2023-12-29,SANDUSDT,0.5785,0.5947,0.5562,0.5746,32145445.0,18607203.0559,88329
1703721600000,2023-12-28,SANDUSDT,0.6029,0.6122,0.5674,0.5785,34071321.0,19981628.7565,99823
1703635200000,2023-12-27,SANDUSDT,0.6273,0.6309,0.5913,0.6028,46514570.0,28180948.6834,116690
1703548800000,2023-12-26,SANDUSDT,0.6066,0.68,0.5626,0.627,140581468.0,89187039.2672,362052
1703462400000,2023-12-25,SANDUSDT,0.5631,0.6203,0.5429,0.6065,110260316.0,65273644.8772,245389
1703376000000,2023-12-24,SANDUSDT,0.5328,0.5777,0.526,0.5632,66477577.0,36621066.4298,140085
1703289600000,2023-12-23,SANDUSDT,0.5413,0.5423,0.5223,0.5327,18390771.0,9735767.0363,43878
1703203200000,2023-12-22,SANDUSDT,0.5468,0.5555,0.5285,0.5413,36483169.0,19727060.7911,80730
1703116800000,2023-12-21,SANDUSDT,0.518,0.547,0.5125,0.5468,31827197.0,16875694.4182,72965
1703030400000,2023-12-20,SANDUSDT,0.4894,0.5253,0.481,0.5179,30503255.0,15611844.6019,65328
1702944000000,2023-12-19,SANDUSDT,0.4989,0.5076,0.4809,0.4896,18678066.0,9257328.447,43679
1702857600000,2023-12-18,SANDUSDT,0.4997,0.5028,0.46,0.4989,29085091.0,13963200.2934,77591
1702771200000,2023-12-17,SANDUSDT,0.52,0.5241,0.4962,0.4995,21461409.0,10974628.6178,54792
1702684800000,2023-12-16,SANDUSDT,0.495,0.5305,0.4874,0.52,22867017.0,11761025.4258,53422
1702598400000,2023-12-15,SANDUSDT,0.5316,0.5324,0.494,0.495,20219371.0,10380583.5796,50159
1702512000000,2023-12-14,SANDUSDT,0.5211,0.5348,0.4932,0.5315,37956897.0,19862048.2708,87713
1702425600000,2023-12-13,SANDUSDT,0.511,0.5241,0.4716,0.5205,37914311.0,18738677.8439,93200
1702339200000,2023-12-12,SANDUSDT,0.5139,0.5217,0.493,0.5111,35966027.0,18298411.9861,98421
1702252800000,2023-12-11,SANDUSDT,0.5578,0.5602,0.4652,0.5138,64924349.0,33357531.5109,178428
1702166400000,2023-12-10,SANDUSDT,0.5319,0.5953,0.5318,0.5579,130252319.0,73538399.2117,327326
1702080000000,2023-12-09,SANDUSDT,0.4943,0.545,0.492,0.5318,82580333.0,42760537.7094,196431
1701993600000,2023-12-08,SANDUSDT,0.4638,0.495,0.4563,0.4941,47586901.0,22651959.6746,98600
1701907200000,2023-12-07,SANDUSDT,0.4454,0.4669,0.4356,0.4639,52375172.0,23788967.646,98861
1701820800000,2023-12-06,SANDUSDT,0.4497,0.4632,0.4302,0.4455,50931247.0,22822006.9424,113476
1701734400000,2023-12-05,SANDUSDT,0.4322,0.4598,0.4287,0.4497,67034901.0,29874011.903,138856
1701648000000,2023-12-04,SANDUSDT,0.4278,0.4448,0.3982,0.4321,61660287.0,26488489.53,119840
1701561600000,2023-12-03,SANDUSDT,0.4287,0.4333,0.4206,0.4278,28950678.0,12336773.5629,48714
1701475200000,2023-12-02,SANDUSDT,0.4146,0.433,0.4125,0.4287,19605163.0,8292838.1372,37506
1701388800000,2023-12-01,SANDUSDT,0.4087,0.4202,0.4039,0.4146,17263992.0,7149072.2408,29855
1701302400000,2023-11-30,SANDUSDT,0.4114,0.4141,0.4015,0.4087,13707668.0,5581823.8542,27978
1701216000000,2023-11-29,SANDUSDT,0.4141,0.4186,0.4003,0.4113,23255975.0,9562565.5778,42844
1701129600000,2023-11-28,SANDUSDT,0.4056,0.4181,0.3904,0.414,34397661.0,13900017.2738,63249
1701043200000,2023-11-27,SANDUSDT,0.425,0.4434,0.3934,0.4057,51021301.0,21129869.574,96340
1700956800000,2023-11-26,SANDUSDT,0.4288,0.4374,0.4101,0.4249,40610088.0,17246939.1466,78488
1700870400000,2023-11-25,SANDUSDT,0.406,0.4403,0.4025,0.4289,51292527.0,21901703.5143,88284
1700784000000,2023-11-24,SANDUSDT,0.3976,0.4077,0.3951,0.406,23449521.0,9423353.6993,36575
1700697600000,2023-11-23,SANDUSDT,0.3909,0.4005,0.3854,0.3976,18427543.0,7227651.4097,30523
1700611200000,2023-11-22,SANDUSDT,0.3657,0.3969,0.3641,0.3909,23934796.0,9140717.823,40041
1700524800000,2023-11-21,SANDUSDT,0.4116,0.4185,0.365,0.3659,35881159.0,14046978.7138,84607
1700438400000,2023-11-20,SANDUSDT,0.4168,0.4252,0.4056,0.4117,30360562.0,12643935.9173,51734
