Unix,Date,Symbol,Open,High,Low,Close,Volume EGLD,Volume USDT,tradecount
1710633600000,2024-03-17,EGLDUSDT,62.51,65.08,58.56,64.73,278423.69,17407049.3876,96246
1710547200000,2024-03-16,EGLDUSDT,69.31,70.69,60.92,62.51,375156.46,24658315.3863,143220
1710460800000,2024-03-15,EGLDUSDT,75.26,76.5,64.5,69.3,759746.5,52502341.2678,270852
1710374400000,2024-03-14,EGLDUSDT,73.62,75.27,67.24,75.27,503766.87,36266481.3304,170103
1710288000000,2024-03-13,EGLDUSDT,72.53,78.0,71.24,73.59,535307.64,39682134.5367,164497
1710201600000,2024-03-12,EGLDUSDT,70.42,72.69,65.35,72.52,552380.61,38732262.722,194030
1710115200000,2024-03-11,EGLDUSDT,67.16,71.83,63.05,70.42,460662.98,31593762.117,148334
1710028800000,2024-03-10,EGLDUSDT,68.43,69.89,65.19,67.15,236954.78,16000022.7166,87328
1709942400000,2024-03-09,EGLDUSDT,67.45,69.8,66.08,68.43,255969.5,17454585.7772,82527
1709856000000,2024-03-08,EGLDUSDT,67.41,68.1,63.9,67.46,321965.45,21391323.9981,116040
1709769600000,2024-03-07,EGLDUSDT,64.53,67.8,64.5,67.34,335366.19,22223364.6457,131017
1709683200000,2024-03-06,EGLDUSDT,61.16,64.76,58.75,64.55,313498.8,19475957.0994,109854
1709596800000,2024-03-05,EGLDUSDT,68.45,68.57,56.86,61.17,686576.82,43698147.1794,231407
1709510400000,2024-03-04,EGLDUSDT,71.55,71.66,66.16,68.43,361791.28,24859503.0408,124509
1709424000000,2024-03-03,EGLDUSDT,66.15,73.78,64.0,71.54,817363.26,57253711.6639,325056
1709337600000,2024-03-02,EGLDUSDT,63.17,66.45,63.0,66.14,270424.43,17444753.6386,89437
1709251200000,2024-03-01,EGLDUSDT,60.19,63.45,60.1,63.18,214996.2,13299540.0178,75809
1709164800000,2024-02-29,EGLDUSDT,59.78,63.7,58.52,60.18,410982.63,25237096.9604,149971
1709078400000,2024-02-28,EGLDUSDT,60.17,62.78,56.32,59.78,465363.47,27863486.9496,158248
1708992000000,2024-02-27,EGLDUSDT,60.45,62.24,58.3,60.16,247747.91,14953596.0146,88270
1708905600000,2024-02-26,EGLDUSDT,57.66,60.7,56.95,60.46,211373.69,12481384.8019,76095
1708819200000,2024-02-25,EGLDUSDT,58.34,58.47,56.72,57.66,92636.24,5318189.8718,35811
1708732800000,2024-02-24,EGLDUSDT,56.22,58.64,55.03,58.31,106465.94,6097694.2182,39802
1708646400000,2024-02-23,EGLDUSDT,57.43,58.23,55.2,56.19,117926.67,6671588.6175,45566
1708560000000,2024-02-22,EGLDUSDT,57.58,58.99,56.23,57.43,143156.07,8298995.528,49129
1708473600000,2024-02-21,EGLDUSDT,60.11,60.13,55.37,57.57,189464.08,10834783.6744,54398
1708387200000,2024-02-20,EGLDUSDT,60.9,61.9,57.3,60.09,251763.39,15065061.5499,84993
1708300800000,2024-02-19,EGLDUSDT,59.51,61.74,59.04,60.85,220319.97,13353958.5351,59636
1708214400000,2024-02-18,EGLDUSDT,57.95,60.0,57.24,59.48,120873.53,7085572.695,37907
1708128000000,2024-02-17,EGLDUSDT,59.31,59.32,56.01,57.94,131901.34,7578842.4078,40413
1708041600000,2024-02-16,EGLDUSDT,60.83,62.77,58.0,59.31,215843.15,13043640.3113,65399
1707955200000,2024-02-15,EGLDUSDT,60.87,61.2,58.59,60.83,233649.35,14061170.2266,76547
1707868800000,2024-02-14,EGLDUSDT,59.22,61.01,58.03,60.83,164283.25,9828895.7925,58904
1707782400000,2024-02-13,EGLDUSDT,57.89,61.15,57.64,59.22,296382.3,17583201.2439,96948
1707696000000,2024-02-12,EGLDUSDT,55.78,59.0,55.1,57.89,210639.69,12021984.5483,72818
1707609600000,2024-02-11,EGLDUSDT,56.96,57.24,54.91,55.76,100625.25,5641039.5853,27726
1707523200000,2024-02-10,EGLDUSDT,55.35,58.0,54.98,56.97,232313.21,13193991.4716,74028
1707436800000,2024-02-09,EGLDUSDT,53.94,55.49,53.78,55.34,145580.07,7961064.4871,37649
1707350400000,2024-02-08,EGLDUSDT,53.5,55.94,52.84,53.92,239460.21,12982784.1513,63721
1707264000000,2024-02-07,EGLDUSDT,52.55,53.62,50.91,53.47,124695.67,6483456.6391,37233
1707177600000,2024-02-06,EGLDUSDT,53.34,53.87,52.25,52.55,85487.07,4527193.7246,29249
1707091200000,2024-02-05,EGLDUSDT,53.47,54.43,52.39,53.35,76990.56,4107369.936,25934
1707004800000,2024-02-04,EGLDUSDT,54.08,54.42,52.75,53.49,82944.78,4446480.0726,24852
1706918400000,2024-02-03,EGLDUSDT,55.41,55.82,53.87,54.06,61603.26,3369387.4663,19580
1706832000000,2024-02-02,EGLDUSDT,53.5,57.15,53.22,55.4,224176.69,12527385.0764,63519
1706745600000,2024-02-01,EGLDUSDT,53.17,53.97,51.43,53.49,219438.58,11477237.2549,38723
1706659200000,2024-01-31,EGLDUSDT,57.1,57.37,52.24,53.17,268238.05,14771913.3197,61400
1706572800000,2024-01-30,EGLDUSDT,55.92,59.13,55.15,57.06,279674.59,16046898.884,68086
1706486400000,2024-01-29,EGLDUSDT,53.08,56.12,52.56,55.88,180483.28,9823968.2963,44890
1706400000000,2024-01-28,EGLDUSDT,53.62,54.34,52.16,53.07,119576.86,6369181.583,36801
1706313600000,2024-01-27,EGLDUSDT,51.86,53.92,51.09,53.58,106501.15,5605278.8794,25845
1706227200000,2024-01-26,EGLDUSDT,49.03,52.14,48.5,51.82,132032.94,6706491.4016,34536
1706140800000,2024-01-25,EGLDUSDT,49.83,49.88,47.5,49.02,102350.3,4996628.2382,31533
1706054400000,2024-01-24,EGLDUSDT,48.79,51.22,48.42,49.84,158303.02,7883731.1594,45012
1705968000000,2024-01-23,EGLDUSDT,49.73,51.17,46.17,48.79,219995.82,10557360.4128,62586
1705881600000,2024-01-22,EGLDUSDT,51.53,52.55,48.69,49.73,178939.96,9081159.2294,55891
1705795200000,2024-01-21,EGLDUSDT,52.59,53.06,51.39,51.54,73444.88,3847191.2295,24129
1705708800000,2024-01-20,EGLDUSDT,50.89,53.59,50.28,52.6,156383.05,8140021.5573,43176
1705622400000,2024-01-19,EGLDUSDT,51.55,52.31,47.75,50.9,183433.88,9175103.3781,50904
1705536000000,2024-01-18,EGLDUSDT,54.83,54.86,50.31,51.55,140480.01,7350831.6739,38384
1705449600000,2024-01-17,EGLDUSDT,55.44,57.79,53.74,54.82,214321.78,11941767.9959,57709
1705363200000,2024-01-16,EGLDUSDT,53.22,56.9,53.22,55.44,251747.05,13926331.2963,74378
1705276800000,2024-01-15,EGLDUSDT,52.36,54.83,52.24,53.22,100061.23,5374902.0474,30244
1705190400000,2024-01-14,EGLDUSDT,54.5,55.69,52.15,52.35,123576.85,6668255.028,33656
1705104000000,2024-01-13,EGLDUSDT,53.87,54.85,52.11,54.46,115039.63,6210233.8825,31723
1705017600000,2024-01-12,EGLDUSDT,57.66,58.6,51.87,53.89,242814.57,13564418.9391,69797
1704931200000,2024-01-11,EGLDUSDT,56.69,60.12,55.58,57.67,313735.18,18188128.4591,89128
1704844800000,2024-01-10,EGLDUSDT,52.96,58.91,50.15,56.66,345022.03,18444706.9332,96739
1704758400000,2024-01-09,EGLDUSDT,55.54,55.74,51.16,52.99,215622.65,11402245.3502,56916
1704672000000,2024-01-08,EGLDUSDT,51.67,56.04,46.64,55.54,333673.04,17309281.4735,96978
1704585600000,2024-01-07,EGLDUSDT,54.58,56.1,51.0,51.67,156915.57,8428103.5257,45397
1704499200000,2024-01-06,EGLDUSDT,57.12,57.15,51.86,54.59,219389.92,11785826.2895,57510
1704412800000,2024-01-05,EGLDUSDT,60.14,60.42,54.78,57.12,244197.79,13927523.7921,78778
1704326400000,2024-01-04,EGLDUSDT,59.77,60.99,56.1,60.15,310345.56,18177478.6181,78720
1704240000000,2024-01-03,EGLDUSDT,69.08,71.01,51.0,59.79,595602.82,36553707.6233,207458
1704153600000,2024-01-02,EGLDUSDT,71.37,72.92,68.39,68.99,250961.7,17702696.2819,87423
1704067200000,2024-01-01,EGLDUSDT,67.9,71.8,66.66,71.37,208859.8,14611723.0916,72905
1703980800000,2023-12-31,EGLDUSDT,68.62,70.75,66.74,67.92,172355.15,11926414.7606,59664
1703894400000,2023-12-30,EGLDUSDT,71.55,71.55,67.23,68.6,122633.46,8467990.371,46259
1703808000000,2023-12-29,EGLDUSDT,69.51,72.11,67.07,71.55,257090.07,18053545.4662,87568
1703721600000,2023-12-28,EGLDUSDT,70.74,71.41,66.5,69.5,226657.07,15618481.932,80397
